,Serial_No,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
2040,2040,1072,39,Great casual dress!,"This is my second dress from this designer. it is very comfortable, stylish, and looks great with sandals/wedges. i would have given it 5 stars but the neckline was a little lower than i expected and the length was a little longer. i am still keeping it though and expect to wear it spring, summer, and fall.",4,1,0,General,Dresses,Dresses
2041,2041,862,49,Shrinks,"I'm 5'4, 125 lbs, & have a 36 c/d bust; the xs fits great.
i wash everything in cold & line dry... this was no exception. when i took it out of the washer i knew immediately :( i've pulled it back into shape & hung it up, but we'll see.
 dry clean if you want to keep it",4,1,7,General,Tops,Knits
2042,2042,1072,33,Effortlessly cool,"I will preface this review by stating that this item was available only in one size at my local retailer. they have a section of dresses mostly offered online that are in store for you to touch, see, try on and order through the store (which is much appreciated). i am normally a size 0-2/xs in retailer clothes and i will typically order a petite when available. the option my store had to try on was a regular medium which is what i have pictured here.

i mostly wanted to try it on just to get a fee",5,1,51,General,Dresses,Dresses
2043,2043,896,52,Beautiful sweater,"I love this top, wish they had it in more colors, i would buy more!",5,1,0,General,Tops,Fine gauge
2044,2044,872,36,Lovely and so flattering,"I purchased this with some hesitation, having read that some people thought it was unflattering. but i couldn't resist the sale price, and i love a low-maintenance work top and doesn't require ironing. this fits the bill perfectly. it's made of high quality fabric, there's a soft inner lining with a side zip closure, and it has a pretty narrow profile so initially i found it a little snug to wiggle into (i got a small), but once on it fit perfectly, and is so flattering i can't imagine why other",5,1,1,General Petite,Tops,Knits
2045,2045,1068,74,,"I wanted to love these. the fabric was soft and they were good quality but they fit differently than the hyphen chinos and were too small. sadly, i had to return them.",4,1,7,General,Bottoms,Pants
2046,2046,1092,35,It's gorgeous,Should've ordered a larger size. it runs a bit tight around the top and the zipper isn't that helpful.,5,1,0,General Petite,Dresses,Dresses
2047,2047,1072,62,Beautiful but big,"This was my first tiny shirtdress purchase after seeing the past few patterns/seasons. for me the last few were a little too busy, but something about both patterns this season felt right for summer. i'm 5'7"", 128# and found my usual s to be too long in length and in sleeve length (the sleeves being a problem that i never have). going to try to exchange for an xs because it really is a lovely piece in both colors (though i slightly prefer the green because it feels more tropical/exotic for summe",4,1,5,General,Dresses,Dresses
2048,2048,1092,43,Dream dress,"I'm 5'6 and between 100-105lbs. buying clothes from retailer is always a stuggle because i have a petite frame but i don't fall into the petite height range. i usually order a petite size and just deal with the shorter length, which is hard when you're all limbs. i purchased a 0r and i'm in love with the fit! the top of the dress fits under my arms perfectly! the waist of the dress also hits nicely. usually the waist of regular sized dresses falls below my natural waistline due to my short",5,1,0,General Petite,Dresses,Dresses
2049,2049,1092,39,"Flowy, functional ,dressy","I love the ease of this dress. the style can be dressed up or down. the straps are inset a little which doesn't work for every body type. the thin material can get caught and snag easily but otherwise this dress is a simple chic addition to my closet. the length is just right, not too long like some other maxi dresses. the lining underneath ends at the perfect length as well. the top part is lined well so it can be worn with or without a bra. i am normally a 4 or 6 in dresses. the waistband hits",5,1,0,General Petite,Dresses,Dresses
2050,2050,872,41,,"Dig this top but a little different from what i was expecting. the outside is indeed a bit stiff and scratchy but it is lined ... but definitely would've appreciated a softer fabric. however, the cut is cute and flattering and the pattern is adorable so it's staying in my closet. perhaps not the thing to wear to snuggle up with someone though!",4,1,0,General Petite,Tops,Knits
2051,2051,1072,37,Not for me,I purchased this based on previous reviews. the quality of the dress and the print is excellent. the dress fit me perfect in the front however there were so much extra fabric in the back that it made me look extremely large. i understand it's a shirt dress however the back would need to be taken in like 6 inches. for someone who is looking for a more boxy full coverage dress this is more for them,4,0,2,General Petite,Dresses,Dresses
2052,2052,850,26,Very flattering,"I usually don't even consider this style of shirt, but i was intrigued by its soft fabric and texture. honestly, i love this shirt! it is so flattering and a perfect staple for any closet! i can wait to wear it out and about!",5,1,1,General Petite,Tops,Blouses
2053,2053,1072,33,Huge,"I am between a xs and s but figured i would order down based on the reviews. well, it's still huge. i have about 5 inches that i can take in from the side. i have ordered the xxs and am hoping it will look more flattering. i love the colors and design, but as it is it does not do anything for me. for reference i am 124 lbs, 32d, 5'5"".",4,1,0,General Petite,Dresses,Dresses
2054,2054,1092,39,Runs big in bust,"The first reviewer said it was small in the bust, but the 0p i ordered fit everywhere, rib cage and all, but was gaping at the bust (in the back). i would say overall it was true to size but if i sized down, it would be too snug in the rib cage. i am 30dd for reference there and waist is 26.5 inches,

otherwise, the make is very pretty, i like the texture in the fabric, the color is very pretty as well. embroidery seemed high quality, but i decided to pass on it, even on sale, since it didn't",4,1,1,General Petite,Dresses,Dresses
2055,2055,896,39,Finally saw it in person,"I had my eye on this for a while, and my store finally got it in (in tmie for the 40% off sweaters). too bad hte petite size was already sold out by then, however good thing isthe xs stil lfit me in a nice way. i wil lnever know about petite, decided to jsut purchase as is (they don't have xxs either#. the fit is on hte looser comfortable side. the red color is rich, and the design is subtle, adn will nto fall apart, so it add some interest to an otherwise typical pullover. will look nice with j",5,1,0,General,Tops,Fine gauge
2056,2056,1072,58,Go to dress,This is a great dress for those days where you just want to throw something on but still look put together. it hangs so well and feels so comfortable yet it has a style that is a combination of bohemian and part sophisticated . the colors are muted but they work so well. i wear it with flat strap sandals and have also paired it with wedges. i receive tons of compliments and have to make sure my daughter doesn't try to borrow it. would highly recommend.,5,1,1,General Petite,Dresses,Dresses
2057,2057,862,42,Too big!,"I wear a size 4 and i ordered the small for this top. it is huge and gave me a maternity-look that i wasn't going for. i was hoping for a loose, body-skimming fit as shown on the model in the picture but that wasn't happening with this top.",3,0,10,General,Tops,Knits
2058,2058,862,57,,"Love this layering piece! a little low cut for my personal comfort, but a tank underneath works great.",5,1,0,General,Tops,Knits
2059,2059,1072,38,Love this dress!!!,"I originally purchased a small after reading some of the reviews. although it did fit, i felt it was just slightly snug across the chest and upper arms. i returned for a medium (my usual size) and it was perfect. it had the same look and flow as what you see in the model pics. i love love love that it is long-sleeved and has pockets!!!!! i went ahead and ordered the other print as well! i wore the first one to work with some knee high boots and got many compliments. highly recommend!",5,1,0,General Petite,Dresses,Dresses
2060,2060,1092,41,Absolutely beautiful,Love love love this dress.  fits like a glove. beautiful details. amazing quality. i'm so happy with this dress and know i'll have it for years. :),5,1,0,General Petite,Dresses,Dresses
2061,2061,1126,61,,This jacket is gorgeous! the design is visually very interesting. the fabric is light enough that i can wear it to work and keep it on all day.,5,1,1,General,Jackets,Outerwear
2062,2062,896,39,,"Love this sweater! the abstract floral design adds an understated romantic touch, the red is a beautiful rich red, and the cotton is super soft and comfy. i've tried it on with pencil skirts and jeans, and it looks great with both. i'm considering buying it in the off white too, but it does have some cons. one is the waist band hits me where it does on the model and if you look closely you can see where the sweater poof out over the band a bit--it does that on me too, unless i turn the band up t",5,1,6,General,Tops,Fine gauge
2063,2063,872,26,,,3,0,0,General Petite,Tops,Knits
2064,2064,896,63,Love this sweater!!,"I am totally in love with this sweater!! it is lightweight, comfortable, and very versatile. throw on a pair of jeans and it is casual. throw on dark slacks or a skirt and it is dressy. the design does not become the focus of the sweater but rather takes it up a notch making it a fun piece to wear. the color is not a light red, but rather a rich cabernet wine color. this sweater is well on its way to becoming one of my all time favorites!!",5,1,4,General,Tops,Fine gauge
2065,2065,872,23,Love!,"I was very nervous to buy this top, but because it was on such an excellent sale i went for it- tops like this usually end in me showing a ridiculous amount of cleavage or not being able to zip (i am a 32ddd) it past my waist. i ordered a small based on the other reviews and it fits perfectly! the wrap top is perfect and shows off my curves without showing too much. the fabric is very unique and the whole top is lined with a nice nylon/cotton blend so it is very soft and comfortable to wear. def",5,1,0,General Petite,Tops,Knits
2066,2066,1072,59,A bit big,I really loved the colors in this dress and was looking for a long sleeve dress. this style may just be big fitting but the sleeves were way too long and the dress was just shapeless on me. i usually wear a small or a size 4 in clothing and the size small in this dress was way too big. the x-small may have been a better fit but this dress was on backorder and i just received it right before we are going on a trip. there's no time to order the x-small but maybe i can look at it again when we retu,4,1,4,General Petite,Dresses,Dresses
2067,2067,850,63,Gorgeous top but very high-waisted,"I love everything about this blouse except for one thing: the peplum just hits way too high up on the body, and i am only 5'4"". 106 and ordered a regular size 2 (not petite) which fits perfectly except for this. it is made of a beautiful textured fabric and is very nice quality. i adore peplums and own many and like the peplum to begin near the waist. however, others may not mind the higher waist and in that case it may work for them. i really hated to send it back it was so pretty but it just w",4,1,19,General Petite,Tops,Blouses
2068,2068,872,42,Too cute but ...,"Super cute, flattering design but the material is itchy so it's going back:(",3,0,0,General Petite,Tops,Knits
2069,2069,1126,51,Surprisingly amazing,"I tried this on at the store in the regular size it came in and thought maybe it has some potential is i ordered it for me in a petite since that's what i am. i ignored the package when i first got it thinking it wouldn't really look right but omg, it's 100% amazing and flattering. wear it with skinny jeans, leggings, jeggings, whatever and it's just super awesome on dressed up or down. i'd buy this over and over again without a doubt.",5,1,3,General,Jackets,Outerwear
2070,2070,850,23,The most versatile top.,"I bought this shirt to wear to work (i'm a teacher). this shirt is so amazing. i'm able to pair it with work pants to dress it up, and in denim to dress it down. the cut is incredible, with the peplum waist coming right below my breasts a little above my waist. the length is perfect, and it just seems to create the most perfect shape. the material is high quality, and i just love the fabric texture. it's very soft, and gives a tiny bit of stretch, but not much. i did size up in this shirt (i'm u",5,1,6,General Petite,Tops,Blouses
2071,2071,862,23,My go-to shirt,"I honestly bought this shirt on a whim the other day in my local retailer. i was drawn to the color and the swing. first of all, this shirt is incredibly soft and lightweight. i love the flow of the loose peplum. the straps are nicely placed, because they're wider and accentuate my arms (and cover my bra straps). i love the little v neck detail. it shows a little cleavage when bent or hunched over, but the top stays conservative when truly upright. i wore this shirt 3 days in a row last week, and",5,1,21,General,Tops,Knits
2072,2072,1072,33,Lovely!,"Comfortable, relaxed fit. i am very top heavy and the generous cut of this dress worked well!",5,1,0,General Petite,Dresses,Dresses
2073,2073,862,64,Versatile!,"This top is comfortable and flattering. i really like the simplicity- a wearable basic summer top, with a cute twist, just enough to make it contemporary, but not overstated.",5,1,0,General,Tops,Knits
2074,2074,1072,33,Beautiful dress - runs huge!,"I fell in love with this dress online and went to try on in the store. i'm 5'6, 128 lbs with some boobs, usually a s or size 4. i tried on the s and xs, and ended up buying the xs - and i've never worn an xs in my life. it is long and loose, hanging right at my knees. the body is roomy, and i am thinking of having it taken in a couple of inches at the waist. there is pleating in the front that begins just below my natural waist and extends out to the hips, plus pockets (!!!). the sleeves are lon",5,1,14,General Petite,Dresses,Dresses
2075,2075,1072,40,Great dress with a little help added!,"This dress is comfortable and the pattern is really nice with some good attention to detail on the lace trim and pockets. i ordered this in my usual pxs (i am 5'2""), but this definitely runs very large. it is a shirt style dress so i didn't expect it to be fitted, but off the hanger it was just too shapeless and sack-like for me. i really wanted it to work, so i took it to my tailor and she added a beautiful navy rope-like tie attached to both sides in the back of the dress. it looks amazing, an",4,1,0,General Petite,Dresses,Dresses
2076,2076,896,60,Super sweater,"This will be a favorite sweater this winter. it has a loose but flattering fit. i purchased the red (a deep rusty red), and it fits me exactly as it does the model pictured...slightly loose but flattering, mid hip, open neckline. you can't tell in the picture, but the neckline is rolled. i am 5'2"", 140 lbs., just a bit fluffy. the small fits me perfectly. i think that you could size down from your regular size if you prefer a closer fit. the sleeves are at the top of my hands, just below the wri",5,1,1,General,Tops,Fine gauge
2077,2077,872,36,Poor fabric quality,Looks great in the picture but when i got this in the mail the fabric was so stiff! shaking it out did nothing-almost like it was dipped in drying glue. i got this for $10 which is so cheap and i still returned it!,1,0,0,General Petite,Tops,Knits
2078,2078,1072,35,A hit!,"I bought this dress in the green. it runs big - i usually take a s and had to return for xs - i am 5'5"" and 125. it flows beautifully and can be dressed up with heels or worn completely casual with flip flops. worth every penny!!",5,1,3,General Petite,Dresses,Dresses
2079,2079,1072,68,Beautiful dress--if you can figure out your size!,"For a brand called ""tiny""--this dress was really big. i ordered my usual m and it was like a sack--virtually no shape to it at all. i haven't been a small in many decades, so i'm really hesitant to order it again. i'm afraid i'll be like goldilocks--""too big!"", ""too small!""--but i'm probably going to give it a whirl because the green print is so pretty, and i l like that it has sleeves to protect from sun. and pockets! lots of good qualities, just putting them together in a wearable size seems t",4,1,1,General Petite,Dresses,Dresses
2080,2080,850,53,Love it!,"This tank runs very true to size. i ordered my usual size 8, which fits like a glove. couldn't go any smaller. very pretty fabric which is lined above the peplum. i personally like the higher peplum, but it's a personal choice. great purchase!",5,1,3,General Petite,Tops,Blouses
2081,2081,912,32,,,5,1,0,General,Tops,Fine gauge
2082,2082,912,70,Versatile vest,I love the black and grey version of the vest but decided too try it in plum. the plum color is used only on the lapels and inside of the garment. it has no finished seams but it is like a soft boiled wool so it wouldn't ravel. the seam in the waistline area breaks up the design and adds more interest.,4,1,4,General,Tops,Fine gauge
2083,2083,896,28,"Bought for my sister, she loves it!","This was a christmas gift to my sister. she liked it so much she wore it the day after opening it. very cute design, lovely deep red color. only thing to look out for is the potential of fabric to snag - looks like it may do so easily if wearing long jewelry. may run a bit large, but the medium for her well (slightly loose fitting garment). she is 5'7 and would probably wear a large in a typical shirt.",5,1,0,General,Tops,Fine gauge
2084,2084,1126,38,Nice design but quality isses,"I tried this jacket on and it was definitely cute but a couple things to note. it's a wool acrylic blend and it was already starting to pill from being tried on in the store. also, it's unlined. i thought the price point was high given its fibers and unlined. given its hem, i wonder how much longevity the piece has and how quickly it might start to look dated too.",3,0,1,General,Jackets,Outerwear
2085,2085,862,21,Perfect shirt,"I absolutely adore this shirt!!! the pinkish rosey color is beautiful and ended up being better than i had imagined. i will say that the shirt is a bit more casual than i thought it was going to be, the way it hangs or something..not really sure. nonetheless, it is perfect. can be dressed up or down, which is the best quality to have in any piece of clothing! i can tell i'm going to get a lot of wear out of it.",5,1,0,General,Tops,Knits
2086,2086,1072,41,No shape,"This dress looked super cute in the picture and on the model. i ordered the petite style and it was still so big and way too loose. no shape whatsoever! i unfortunately had to return it. i love loose dresses but this one was way too big, loose and had no shape at all.",2,0,2,General Petite,Dresses,Dresses
2087,2087,872,32,Very cute,Very versatile top! i feel like i could dress it up or down. fits very nice and the material is soft.,5,1,0,General Petite,Tops,Knits
2088,2088,912,50,Love this wool seamed vest,"I feel fabulous in this plum and charcoal vest. i am 5/9"" and the m'l is the perfect length and size. i was initially attracted by the external seams (and color) and was delighted with the silhouette and soft structure of the wool blend fabric. it is versatile and yet a kind of signature piece that i will wear with joy. .",5,1,3,General,Tops,Fine gauge
2089,2089,862,37,Good summer tank,This will be a great summer staple.  good fit and very comfortable.  may go back and buy another color,5,1,0,General,Tops,Knits
2090,2090,1072,39,Love!,"This dress is a vintage 20s drop hem style, not meant to be tight to form.  that said, the bottom is loose so may want to size down.  5'2, 145 lbs= s.  i bought the neutral- navy pattern and it is absolutely gorgeus!  hints of peach and beautiful lace detail.  i literally got compliments all day long- from friends and strangers.  i paired it with a dark denim jacket.  absolute must have for sale price.",5,1,0,General Petite,Dresses,Dresses
2091,2091,862,28,"Shrinks, shrinks, shrinks","I purchased this top in the rose and steel blue colors even though the majority of reviews says it shrinks even when you wash per the instructions. i called the local retailer store first to see if it could be returned if this happened and they said yes, no problem. well the reviews are correct. i washed just the rose colored top so i could compare it to the steel blue if it did shrink. i am returning them this evening. i will not take the time or spend the money to dry clean a tank. it is made ve",1,0,1,General,Tops,Knits
2092,2092,1092,51,Beautiful,"This dress is very flattering. i am writing a review to share my experience regarding sizing. i am 5'7"" and wear 34a.  i tried on a size 0 that was at the store as a return and there was about a 3 inch gap to get the side zip closed. although i  normally wear a size 2, i ordered size 4 because of my experience with the dress at the store.  the size 4 is slightly big across the bust but looks ok. i think the size 2 would've been too tight.",5,1,3,General Petite,Dresses,Dresses
2093,2093,896,48,Gorgeous,Love this sweater! great for work. very soft and comfortable. color is gorgeous!,5,1,0,General,Tops,Fine gauge
2094,2094,872,36,Upholstery fabric,"Super thick material and it's lined with cotton so as not to be scratchy on the skin. it looks cute on, hopefully it will soften over time. almost thick like upholstery fabric.",4,1,1,General Petite,Tops,Knits
